"EntrezGeneID","Variance"
"223838",14.1031890487593
"14048",14.1016312853884
"14077",14.0470424867455
"20564",14.0469413029297
"11839",14.0463783812725
"27226",14.0377350705341
"394435",14.0109879803978
"320183",13.9832993483761
"106565",13.9501167202415
"105653",13.932303505221
"104174",13.9112241092611
"68458",13.9014524297144
"244867",13.8795496882478
"268935",13.8695722123456
"226025",13.8620914398407
"235505",13.856622576843
"63913",13.8476942853338
"100861595",13.7704401675992
"57764",13.764861923414
"226778",13.7452847891564
"12444",13.7343931155853
"77590",13.7325849238912
"66793",13.7250154349076
"26360",13.703958656425
"12310",13.6722941212232
"497097",13.6624114679979
"624245",13.6244794738648
"104099",13.611440717963
"66873",13.6104368408528
"19116",13.5802553726461
"226041",13.5469974988207
"20541",13.5207500894709
"54156",13.5098456984562
"110135",13.5050112850094
"58250",13.4559950522109
"18703",13.4399432864214
"100042464",13.3623623352945
"230098",13.3492122302523
"29877",13.3013013268212
"381714",13.2966844973582
"83603",13.2337288695117
"12827",13.2196858901731
"16665",13.1870280347385
"18163",13.1813866071884
"20309",13.1614974292452
"12740",13.141293733422
"12816",13.1361288013316
"18830",13.1324521935929
"100861702",13.1299267464465
"14118",13.0973635602025
"114679",13.0848716501358
"72169",13.067099451445
"30785",13.0565411008364
"70717",13.0556763256277
"63873",13.0302772002303
"14160",13.0284876589386
"69121",13.026319143884
"380785",13.0216065549023
"12804",12.9857018175911
"360220",12.9547132375507
"74103",12.8739401944175
"16450",12.8504231905365
"70370",12.8349159573118
"23965",12.8169818539747
"12111",12.8046196398789
"20192",12.7863563884539
"14586",12.7358375290533
"12683",12.7316611791485
"94214",12.719325656876
"269132",12.7033362546136
"193385",12.7018118741874
"15904",12.6952690990431
"76686",12.688871358296
"20356",12.6216366347671
"99035",12.616891394473
"18779",12.6108414946148
"17260",12.5867951491916
"12822",12.5821597953172
"214523",12.5793714212138
"14219",12.5706400841877
"320587",12.5569915719224
"100503819",12.5193384428658
"224079",12.5104361581823
"18669",12.5049387168032
"17380",12.5013617221075
"20716",12.4451256755644
"58809",12.4420886678447
"70598",12.4389324634796
"14314",12.4331599892885
"20390",12.4319127197722
"110895",12.4255679253106
"20717",12.3962141413235
"54195",12.3679034293094
"268723",12.3636101154157
"100861755",12.3520447111722
"14807",12.3391070924747
"16688",12.3277169429768
"594844",12.2669296593621
"20750",12.2646362137964
"11636",12.1785833657012
"74048",12.1615079053223
"319352",12.1572937607491
"13874",12.1371251962868
"76220",12.1235070816951
"11941",12.0974526930097
"94179",12.0860335254829
"270157",12.0448019516816
"217843",12.0287604127852
"230775",11.9654104335879
"68553",11.9599754660973
"270150",11.9239551709479
"20271",11.9183698777445
"20692",11.8842186575516
"215378",11.8714988377184
"12326",11.8482719612574
"12840",11.8213913938537
"16764",11.8137066188087
"207777",11.8032419213119
"70784",11.7968383125185
"16770",11.747111210147
"14620",11.664956323854
"215384",11.633390171099
"76820",11.6291717410435
"20528",11.6146912234119
"233651",11.5917172285377
"13717",11.5855128845585
"240675",11.5829705659747
"23828",11.5769335684393
"94217",11.5692565776908
"666794",11.5505627750105
"269120",11.5500518227103
"68239",11.5149895320248
"22411",11.5083458127021
"330812",11.5044081224437
"67448",11.5030883928042
"237759",11.5030508096559
"94284",11.4992768931228
"72333",11.4705009668769
"66773",11.4270743849291
"241556",11.418529031378
"18205",11.392831801693
"11302",11.378787496406
"53318",11.3684473231106
"18858",11.3633303520206
"14275",11.3622609720543
"666048",11.3465593243695
"116847",11.3412051861125
"11810",11.340202182797
"171284",11.3193071271927
"18654",11.3131546389465
"68203",11.2793480360858
"319991",11.2670547525671
"242022",11.2417126547342
"100042480",11.2414297474391
"268860",11.2344793570785
"219148",11.1922884044183
