"","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"13876",3.19802328917053,3.96923873257769,1.60232652629842,1.83837258948859,1.501115858086,1.82285377854068,1.52880765549091,1.51317219392964,-0.891740264399963,-1.00389662626412,-1.42501942851772,-1.13826048522493
"23872",9.19712017864487,9.61460171170072,9.74361636639919,9.57403182479255,8.8629847177834,8.63108300854667,10.5696823572477,10.815409286261,10.0416220562646,9.98178814069242,7.91887245698384,7.70363868258937
"56088",4.5741497279272,4.58636249574989,4.56473966738898,4.23629923147666,4.29308504944761,4.26912640602601,4.64443632174807,4.42134638416476,4.27332450838674,3.81764637951921,2.93622440020162,2.77889649212361
"93871",7.21440049764739,7.31280306154558,7.52690926131337,7.27868181213078,7.01929948923976,6.81944132121772,7.17896045151289,7.14726680542136,6.87168932998836,6.71847272655353,5.3797266055253,5.55273312869155
"15312",7.43151902477617,7.5107561964385,7.62693947962952,7.49355465570459,7.14870412905935,7.09045669646454,8.20033583203699,8.08228702302054,7.5855371714064,7.33610042115491,5.89813298012051,5.9146935711882
"71446",0.956984717009594,0.801599494638886,0.873881056436529,0.35720175275,0.152439791646446,0.712458557044267,3.83457293553249,3.99481981633444,3.7539275430306,3.35523586786314,2.89758660892001,2.99249194616448
"385668",-1.52425405841806,-0.992265736617722,-1.24706146999093,-0.499896103815525,-0.347032712934217,-0.537445834301097,-1.20877279779355,-0.988478744464352,-1.89362978828622,-2.89186098027388,-0.290879596068706,-0.287404856700914
"50795",3.20477837843613,2.2554966801067,3.94928226899089,4.24639930590062,4.31345665249892,4.21579799552194,-1.57982257432171,-0.746180218133587,-1.89362978828622,-1.88256946073601,-3.48617522965634,-2.94561017678329
"93961",-2.51144911667672,-0.866104082141486,1.67913490108676,1.25360480504434,0.891319284088435,0.365961057100441,1.83683982496569,2.01884521957193,-0.891740264399963,-0.762113793624131,-1.59091526024351,-1.01487824121175
"72058",-1.20490064694113,-1.45453924884346,-0.331191425082919,-1.03956954669025,-1.86199595333055,-1.79007931792599,3.71031285906499,3.51428306347791,3.9088208241729,3.56385552983822,3.25631221589179,3.73913119211486
"18546",-1.52425405841806,0.0115147675797954,3.06882397408038,3.53717203928192,3.39192938784097,3.50265597040048,0.22464208584166,1.84468201496405,-1.89362978828622,-2.89186098027388,5.09386181211158,5.68487718049518
"13508",-2.51144911667672,-1.45453924884346,-1.9698903275951,-1.4979279714277,-2.45666316121395,-2.40203294545964,3.09203755439602,4.00313660919294,-2.8974162765354,-3.48617522965635,-2.94682779076513,-1.01487824121175
"56175",4.67001630802107,4.46557461013432,3.56005065173394,3.6015356233459,4.23018524917102,4.14420241688352,4.41486621510884,3.98645480102323,1.73433181202043,1.34806869347991,-1.59091526024351,-1.58806263722435
"17857",-1.93501060325268,-0.278831105948069,-0.408566603316455,-0.799001962910888,-0.528507729947063,-0.169896637561891,-0.78635622963737,-0.746180218133587,-2.8974162765354,-1.88256946073601,-1.59091526024351,-1.77568924350542
"52793",-3.48617522965634,-3.48617522965635,-3.48617522965634,-3.48617522965634,-2.88147109154644,-2.84457618692174,-0.460018742051574,-0.638758376446423,-2.48048429088319,-3.48617522965635,-3.48617522965634,-3.48617522965635
"17858",3.3150247416825,3.36926671483372,3.34706263291479,2.94952448823635,4.6700803558491,4.49056462234595,1.96925691529568,1.66765065290345,-0.0164130894059023,-0.65489434405075,0.240602060190442,0.740883596450732
